date,month,category,region,product_name,units_sold,unit_price,revenue,discount,rating
2026-01-01,January,Electronics,North,Quantum Watch,12,199,2388,0.1,4.7
2026-01-02,January,Office,East,Ergo Chair,8,350,2800,0.05,4.5
2026-01-03,January,Furniture,West,Oak Desk,4,650,2600,0.0,4.2
2026-01-04,January,Electronics,South,Aero Buds,30,99,2970,0.15,4.8
2026-01-05,January,Apparel,North,Thermal Hoodie,50,45,2250,0.0,4.4
2026-01-06,January,Electronics,East,Ultra Book,15,1200,18000,0.1,4.6
2026-01-07,January,Office,West,Steel Cab,6,180,1080,0.0,3.9
2026-01-08,January,Furniture,South,Lounge Sofa,3,999,2997,0.05,4.8
2026-01-09,January,Apparel,North,Run Shoes,40,85,3400,0.1,4.3
2026-01-10,January,Electronics,East,Smart Scale,25,59,1475,0.0,4.1
2026-01-11,January,Office,West,Dry-Erase Board,12,35,420,0.0,4.0
2026-01-12,January,Furniture,South,Accent Table,10,120,1200,0.05,4.5
2026-01-13,January,Electronics,North,4K Monitor,18,349,6282,0.1,4.7
2026-01-14,January,Apparel,East,Rain Jacket,22,110,2420,0.0,4.2
2026-01-15,January,Electronics,West,Keyboard,35,79,2765,0.15,4.6
2026-02-01,February,Electronics,North,Quantum Watch,15,199,2985,0.05,4.7
2026-02-02,February,Office,East,Ergo Chair,10,350,3500,0.1,4.5
2026-02-03,February,Furniture,West,Oak Desk,5,650,3250,0.0,4.2
2026-02-04,February,Electronics,South,Aero Buds,28,99,2772,0.1,4.8
2026-02-05,February,Apparel,North,Thermal Hoodie,45,45,2025,0.0,4.4
2026-02-06,February,Electronics,East,Ultra Book,12,1200,14400,0.05,4.6
2026-02-07,February,Office,West,Steel Cab,8,180,1440,0.1,3.9
2026-02-08,February,Furniture,South,Lounge Sofa,4,999,3996,0.0,4.8
2026-02-09,February,Apparel,North,Run Shoes,38,85,3230,0.05,4.3
2026-02-10,February,Electronics,East,Smart Scale,22,59,1298,0.0,4.1
2026-03-01,March,Electronics,North,Quantum Watch,20,199,3980,0.1,4.7
2026-03-02,March,Office,East,Ergo Chair,12,350,4200,0.05,4.5
2026-03-03,March,Furniture,West,Oak Desk,6,650,3900,0.0,4.2
2026-03-04,March,Electronics,South,Aero Buds,35,99,3465,0.15,4.8
2026-03-05,March,Apparel,North,Thermal Hoodie,60,45,2700,0.0,4.4
2026-03-06,March,Electronics,East,Ultra Book,18,1200,21600,0.1,4.6
2026-03-07,March,Office,West,Steel Cab,7,180,1260,0.0,3.9
2026-03-08,March,Furniture,South,Lounge Sofa,5,999,4995,0.05,4.8
2026-03-09,March,Apparel,North,Run Shoes,45,85,3825,0.1,4.3
2026-03-10,March,Electronics,East,Smart Scale,30,59,1770,0.0,4.1
2026-04-01,April,Electronics,North,Quantum Watch,25,199,4975,0.05,4.7
2026-04-02,April,Office,East,Ergo Chair,15,350,5250,0.1,4.5
2026-04-03,April,Furniture,West,Oak Desk,8,650,5200,0.0,4.2
2026-04-04,April,Electronics,South,Aero Buds,42,99,4158,0.1,4.8
2026-04-05,April,Apparel,North,Thermal Hoodie,75,45,3375,0.0,4.4
2026-04-06,April,Electronics,East,Ultra Book,20,1200,24000,0.05,4.6
2026-04-07,April,Office,West,Steel Cab,10,180,1800,0.1,3.9
2026-04-08,April,Furniture,South,Lounge Sofa,6,999,5994,0.0,4.8
2026-04-09,April,Apparel,North,Run Shoes,55,85,4675,0.05,4.3
2026-04-10,April,Electronics,East,Smart Scale,35,59,2065,0.0,4.1
